url,likes,title,views,channel,comments,duration,is_short,video_id,thumbnail,scraped_at,subscribers,upload_date,detailed_channel
https://www.youtube.com/watch?v=tVeEDs-5KQQ,45,Prabowo Puji Jokowi Sebagai Master Pengendali Inflasi: Jangan Dianggap Remeh | BREAKING NEWS,4.600 x ditonton,Official iNews,51,8.26,false,tVeEDs-5KQQ,https://i.ytimg.com/vi/tVeEDs-5KQQ/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBz90qmWpdyKkTKPQSx_sRVmgRTvg,2025-10-21 15:11:03,10100000,20 jam yang lalu,Official iNews
https://www.youtube.com/watch?v=uIE0hLFBbDo,3259,"LIVE: Presiden Prabowo Saksikan Penyerahan Uang Pengganti Kerugian Negara, Jakarta, 20 Oktober 2025",120.314 x ditonton,Sekretariat Presiden,1.027,41.30,false,uIE0hLFBbDo,https://i.ytimg.com/vi/uIE0hLFBbDo/hq720.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB8AEB-AH-CYAC0AWKAgwIABABGF0gWihlMA8=&rs=AOn4CLBkeg2pIJ_ah-SMFUg3FzkHDlf8Fw,2025-10-21 15:11:03,3150000,Streaming 1 hari yang lalu,Sekretariat Presiden
https://www.youtube.com/watch?v=xfsp7TVWJEM,44,Momen Senyum Manis Menteri Pariwisata Ketika Dipuji Prabowo,3.804 x ditonton,VIVA.CO.ID,22,4.35,false,xfsp7TVWJEM,https://i.ytimg.com/vi/xfsp7TVWJEM/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCpMxOxansSLE8ED8gDzUIt6LSXjA,2025-10-21 15:11:03,3710000,18 jam yang lalu,VIVA.CO.ID
https://www.youtube.com/watch?v=2hxpd_vEWwI,589,[FULL] KEYNOTE SPEECH MENKEU DI 1 TAHUN PEMERINTAHAN PRABOWO-GIBRAN,53.119 x ditonton,METRO TV ,117,40.01,false,2hxpd_vEWwI,https://i.ytimg.com/vi/2hxpd_vEWwI/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLB1uH5nqJ91jr_MZ2UcV0WLSS4vtw,2025-10-21 15:11:03,10900000,1 hari yang lalu,METRO TV 
https://www.youtube.com/watch?v=Au3m07eU0ck,137,🔴LIVE - Prabowo Tonton Uang Korupsi Rp 13 T Kembali ke Negara,11.947 x ditonton,Kompas.com,33,1.15.46,false,Au3m07eU0ck,https://i.ytimg.com/vi/Au3m07eU0ck/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBiiH_RPe7aNXGolwDMJI-9OgIu_Q,2025-10-21 15:11:03,5760000,Streaming 1 hari yang lalu,Kompas.com
https://www.youtube.com/watch?v=OGdv7fu5_K4,51,"🔴Presiden Prabowo Pimpin Sidang Kabinet, Evaluasi 1 Tahun Pemerintahannya Bersama Gibran",2.969 x ditonton,TribunJakarta Official,13,15.46,false,OGdv7fu5_K4,https://i.ytimg.com/vi/OGdv7fu5_K4/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDjvA_oLjhXQvoZw4910jq0BG3Qnw,2025-10-21 15:11:03,2300000,Streaming 21 jam yang lalu,TribunJakarta Official
https://www.youtube.com/watch?v=Zd9_DsLj_q4,2,🔴 [LIVE] - detikSore: Refleksi Ekonomi RI di Tahun Pertama Pemerintahan Prabowo,1 menonton,detikcom,N/A,,false,Zd9_DsLj_q4,https://i.ytimg.com/vi/Zd9_DsLj_q4/hq720.jpg?v=68f73ae9&sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAp8V4OChukpWC0jfW1YAI0soGqFw,2025-10-21 15:11:03,2280000,,detikcom
https://www.youtube.com/watch?v=pIrwKSSXiC8,8,[LIVE] Katadata Policy Dialogue: Satu Tahun Prabowo - Gibran,1.101 menonton,Katadata Indonesia,N/A,,false,pIrwKSSXiC8,https://i.ytimg.com/vi/pIrwKSSXiC8/hq720.jpg?v=68f72f91&sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCRfO9FguaN-U80VD-5UaCMkJsSNA,2025-10-21 15:11:03,233000,,Katadata Indonesia
https://www.youtube.com/watch?v=Zg8qPODEIP8,14,"1 Tahun Pemerintahan, Prabowo Singgung Menteri yang Tak Ikut Berjuang pada Pilpres 2024",2.649 x ditonton,Kompas.com,3,4.11,false,Zg8qPODEIP8,https://i.ytimg.com/vi/Zg8qPODEIP8/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBgsBHcHn0K_o_H7TngiJtWa1Qzxw,2025-10-21 15:11:03,5760000,19 jam yang lalu,Kompas.com
https://www.youtube.com/watch?v=zBvSVXmAXQQ,812,Kata Ganjar Pranowo Soal Satu Tahun Pemerintahan Prabowo-Gibran: PR Paling Besar Janji Politik,303.929 x ditonton,KOMPASTV,631,2.24,false,zBvSVXmAXQQ,https://i.ytimg.com/vi/zBvSVXmAXQQ/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLA06A-kws4Lp9tRpGTemO4swr0Wzg,2025-10-21 15:11:06,19500000,1 hari yang lalu,KOMPASTV
