name,type,phone,rating,website,geo_code,latitude,longitude,full_address,reviews_count,short_address,google_maps_link,keywords_searched
Masjid Istiqlal,Masjid,(021) 3811708,"4,8",http://eng.istiqlal.or.id/,"RRHJ+RF Ps. Baru, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta",-6.1703808,106.8311304,"Jl. Katedral, Ps. Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10710",(18.821),Jl. Katedral,https://www.google.com/maps/place/Masjid+Istiqlal/data=!4m7!3m6!1s0x2e69f5ce68b5e01d:0xcafaf042d5840c6c!8m2!3d-6.1703808!4d106.8311304!16zL20vMDRzam1q!19sChIJHeC1aM71aS4RbAyE1ULw-so?authuser=0&hl=id&rclk=1,masjid jakarta
Masjid Agung Al-Azhar,Masjid,(021) 72783683,"4,8",http://www.masjidagungalazhar.com/,"QQ7X+WP Selong, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta",-6.2352105,106.7993291,"Jl. Sisingamangaraja No.1, RT.2/RW.1, Selong, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12110",(6.423),"Jl. Sisingamangaraja No.1, RT.2/RW.1",https://www.google.com/maps/place/Masjid+Agung+Al-Azhar/data=!4m7!3m6!1s0x2e69f141e9a9d2f3:0x2974690675d2098a!8m2!3d-6.2352105!4d106.7993291!16s%2Fg%2F121_c4cn!19sChIJ89Kp6UHxaS4RignSdQZpdCk?authuser=0&hl=id&rclk=1,masjid jakarta
Masjid Cut Meutia,Masjid,0812-8601-9687,"4,8",http://masjidcutmeutia.com/,"RR7M+38 Kb. Sirih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta",-6.1872687,106.8333041,"Jl. Taman Cut Mutiah No.1 10, RT.10/RW.5, Kb. Sirih, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350",(11.572),"Jl. Taman Cut Mutiah No.1 10, RT.10/RW.5",https://www.google.com/maps/place/Masjid+Cut+Meutia/data=!4m7!3m6!1s0x2e69f43a42499683:0x1f8ba3d1a48c4817!8m2!3d-6.1872687!4d106.8333041!16s%2Fm%2F0cnxydh!19sChIJg5ZJQjr0aS4RF0iMpNGjix8?authuser=0&hl=id&rclk=1,masjid jakarta
Masjid Jami' Angke Al-Anwar,Masjid,-,"4,8",-,"VQ4W+J8 Angke, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta",-6.1434323,106.7958715,"Jl. Pangeran Tubagus Angke Jl. Pangeran Tubagus Angke Gg. Masjid I No.1 1, RT.1/RW.5, Angke, Kec. Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11330",(239),"Jl. Pangeran Tubagus Angke Jl. Pangeran Tubagus Angke Gg. Masjid I No.1 1, RT.1/RW.5",https://www.google.com/maps/place/Masjid+Jami%27+Angke+Al-Anwar/data=!4m7!3m6!1s0x2e69f6189140f7f7:0xbeb3181945603194!8m2!3d-6.1434323!4d106.7958715!16s%2Fm%2F012vqmw7!19sChIJ9_dAkRj2aS4RlDFgRRkYs74?authuser=0&hl=id&rclk=1,masjid jakarta
Masjid Jami' Kampung Baru Inpak,Masjid,-,"4,9",-,-,-6.1366121,106.8027828,"VR73+943, Jl. Bandengan Selatan-Utara,Jakbar., RT.12/RW.5, Pekojan, Kec. Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11240",(89),"VR73+943, Jl. Bandengan Selatan-Utara,Jakbar., RT.12/RW.5",https://www.google.com/maps/place/Masjid+Jami%27+Kampung+Baru+Inpak/data=!4m7!3m6!1s0x2e69f61d86b53573:0x60c93d9ac9d9c9f4!8m2!3d-6.1366121!4d106.8027828!16s%2Fg%2F11f01qqc2h!19sChIJczW1hh32aS4R9MnZyZo9yWA?authuser=0&hl=id&rclk=1,masjid jakarta
Masjid Jami Al Mansur,Masjid,-,"4,9",-,"VR34+FG Jemb. Lima, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta",-6.1463494,106.8063267,"Jl. KH.Moh.Mansyur No.185, RT.4/RW.1, Jemb. Lima, Kec. Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11250",(70),"Jl. KH.Moh.Mansyur No.185, RT.4/RW.1",https://www.google.com/maps/place/Masjid+Jami+Al+Mansur/data=!4m7!3m6!1s0x2e69f7669ff210a9:0x8360c78eaaab9333!8m2!3d-6.1463494!4d106.8063267!16s%2Fg%2F11f0kmdtnw!19sChIJqRDyn2b3aS4RM5Orqo7HYIM?authuser=0&hl=id&rclk=1,masjid jakarta
Istiklal Mosque,Masjid,+387 33 455-603,"4,9",http://www.islamskazajednica.ba/,-,43.8463245,18.3606216,"R9W6+G6H, Srđana Aleksića, Sarajevo 71000, Bosnia dan Herzegovina",(1.369),"R9W6+G6H, Srđana Aleksića",https://www.google.com/maps/place/Istiklal+Mosque/data=!4m7!3m6!1s0x4758c970e9ea73c1:0xf73a477bda15c1ff!8m2!3d43.8463245!4d18.3606216!16s%2Fg%2F12mj_qss5!19sChIJwXPq6XDJWEcR_8EV2ntHOvc?authuser=0&hl=id&rclk=1,masjid jakarta
Masjid Jami' Pangeran Diponegoro,Masjid,-,"4,7",-,-,-6.3034153,106.8922526,"MVWR+JWJ, Ceger, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13820",(350),MVWR+JWJ,https://www.google.com/maps/place/Masjid+Jami%27+Pangeran+Diponegoro/data=!4m7!3m6!1s0x2e69ed0b3ce3fc7d:0x1d473b6a0a4d6756!8m2!3d-6.3034153!4d106.8922526!16s%2Fg%2F11bwf4365y!19sChIJffzjPAvtaS4RVmdNCmo7Rx0?authuser=0&hl=id&rclk=1,masjid jakarta
